session_id,mac_hash,gw_id,ts_begin,ts_end,incoming,outgoing,latitude_begin,longitude_begin,latitude_end,longitude_end,duration
d57c3e011ab84963f3eddfe05958cbd9ad4f7de3,2b9a1382200858f5d0b7438003e67f66350a2cda,2129,2017-09-01T06:42:47.000Z,2017-09-01T06:57:49.000Z,0,0,1.299467,103.77447,1.291933,103.78052,539
0864795b9dfe56d5f21a1762349c9ad680daab6c,e541df60c3f9efdcf639ac193e64b75c31e97fca,2129,2017-09-01T06:42:34.000Z,2017-09-01T07:01:07.000Z,0,0,1.2989,103.77412,1.292,103.78053,516
8461d6806b90e8d60647d0da23ad67b85c2e1251,75a2068ac9ed445a2afc9abb7f06c11e7f022d26,2079,2017-09-01T06:43:15.000Z,2017-09-01T06:58:17.000Z,0,0,1.292233,103.7743,1.2943,103.77378,550
9b095e094eb0252446f5dc084823ad051d6e783a,29c486e8c3e40fafa0175e44e3937a3063008858,2023,2017-09-01T06:44:41.000Z,2017-09-01T07:04:44.000Z,0,0,1.291817,103.78036,1.290983,103.78105,614
04379d01574d84b6bc14f14b212eeda411e7ad32,af71ef3827e09b7993f2156fc988a0501249beb3,2023,2017-09-01T06:44:29.000Z,2017-09-01T06:54:31.000Z,0,0,1.291817,103.78036,1.30355,103.77448,602
16251361cd7787587736bee843891d156f82009f,7e263f05de435baca44b8540855ea734da158d56,2129,2017-09-01T06:44:01.000Z,2017-09-01T06:59:03.000Z,0,0,1.300983,103.77386,1.291883,103.78055,455
5883b211a53e6f2ac7a348368e45640e420b119a,141d0ffa87d89cb4c7f3fecdddc615c33a9698c8,2023,2017-09-01T06:44:38.000Z,2017-09-01T07:04:22.000Z,0,0,1.291817,103.78036,1.290967,103.78118,645
0857095502ae332d7f5527bff4e487b61833776d,b8b88ed30b9467baed8ba0ddc6e2780aebae5ad9,2129,2017-09-01T06:45:17.000Z,2017-09-01T06:58:21.000Z,0,0,1.298767,103.7764,1.291917,103.78053,185
a0e3654572236260766c8a7da912ef88c0e98efa,2cc2a0f7012c36dc5bff7e57c466c2de8688ea61,2023,2017-09-01T06:45:29.000Z,2017-09-01T06:55:30.000Z,0,0,1.2913,103.78178,1.30375,103.77554,84
9bc63d76a172b60a8e9a7ee30d637e8fba3b5cac,1d344874a20ed1d739e111438d1e58886e5eaaf3,2129,2017-09-01T06:45:29.000Z,2017-09-01T06:57:11.000Z,0,0,1.298067,103.77705,1.291983,103.78049,173
44347bf9c009c2e88bfd0e0f5c6d18b9ae9785b7,c08190e5bc93795492545a0b0626ff7b9917f6a5,2023,2017-09-01T06:45:34.000Z,2017-09-01T06:55:35.000Z,0,0,1.291483,103.78217,1.3039,103.77563,136
2a5a9f915617695d5cf1c01dd796d88243436eb7,630cd6774770d72846aa813edacbfcc1c638255e,2129,2017-09-01T06:45:52.000Z,2017-09-01T06:55:54.000Z,0,0,1.297383,103.77807,1.29195,103.78052,135
e4c44fb17956f263ca028518c19dc4a4041588f0,0baf0400639e7e9e1e525075422d59562c948b19,2129,2017-09-01T06:45:26.000Z,2017-09-01T06:56:09.000Z,0,0,1.298267,103.77686,1.291983,103.7805,177
d2cda935690564438d5c5238eecf963a8e09310a,e5ef316fc8c1c302b9b91edf2fca0f9f230c83e4,2023,2017-09-01T06:45:38.000Z,2017-09-01T06:55:44.000Z,0,0,1.2916,103.78242,1.303633,103.77552,237
13c8b185f9f004434f83ffa75c441de854c570ff,c3976c71b4edba49661ca6ab2c0004dfa8ed063d,2023,2017-09-01T06:46:56.000Z,2017-09-01T07:01:45.000Z,0,0,1.294083,103.7849,1.294333,103.78493,501
119863ee9d46566c917f92ff4649706a3e9394d2,8ee7f2bcefa4062c27864eca4a11ce6701170b14,2023,2017-09-01T06:47:33.000Z,2017-09-01T07:02:22.000Z,0,0,1.2949,103.7844,1.293367,103.78513,463
5cee684e324debaf9c30854e157d30a89e9a93c3,647eb7c1509c2a4661f6894b4ca9cbe50da49cda,2079,2017-09-01T06:47:34.000Z,2017-09-01T06:57:36.000Z,0,0,1.296317,103.77095,1.294217,103.77264,13
0b2f1786aca5f0330f3034c16583f52bcbecf8c6,48f6baafbdcf20708b2074546a143bbcea21c280,2023,2017-09-01T06:47:20.000Z,2017-09-01T06:57:21.000Z,0,0,1.2949,103.7844,1.299,103.77509,137
72982b66283301983624a175ac8f749b9a2c4a5c,e6440b50c7b6cce5cd364a5762c385166e78eee6,2129,2017-09-01T06:48:07.000Z,2017-09-01T06:58:09.000Z,0,0,1.294933,103.78458,1.291917,103.78052,43
08e37f3017275dd67487bc7a8f1ca7c2b9df8022,8ffbbd1e89549eec119f1888440fa230f07efcba,2079,2017-09-01T06:48:09.000Z,2017-09-01T06:58:06.000Z,0,0,1.297233,103.77277,1.29465,103.7737,-3
f0394c2ca2400c999479e0e141e9dd8b78784d03,f709f6743dee7821767fb4ff275153368942dd98,2023,2017-09-01T06:48:35.000Z,2017-09-01T07:01:25.000Z,0,0,1.296983,103.7821,1.294917,103.78458,194
734f50c9500ced4fa90272de0ec63cba6eb32258,60e75f1eeaf36d6627763f9c7b428b14957759b1,2079,2017-09-01T06:48:12.000Z,2017-09-01T06:58:14.000Z,0,0,1.297233,103.77277,1.294367,103.77386,19
eb3d259057e3907dab6a433d37aaf0f246c8c3df,30e0bb75c14fcdca22e2d4096c5da9986841eec4,2079,2017-09-01T06:48:45.000Z,2017-09-01T06:58:46.000Z,0,0,1.298267,103.77364,1.294483,103.77343,214
ef3f4e8ddefd77791e5cd070e5c34cfc2f257eab,560affac25d1e579f90682da9d397fa4f1e5ea35,2023,2017-09-01T06:49:37.000Z,2017-09-01T06:59:37.000Z,0,0,1.297367,103.78018,1.297483,103.78075,null
0621b5e8b8f2514354a51a977f2df917696a24d6,f5e847654b901b281738c67033a96714c8c06958,2023,2017-09-01T06:49:51.000Z,2017-09-01T06:59:53.000Z,0,0,1.2971,103.779,1.297517,103.78104,209
18810ad7fa17b79f65633c3eb152c9710bf7b011,1d02b584c6f065d5e1d0d506eca2ea0d8f1c3814,2129,2017-09-01T06:50:08.000Z,2017-09-01T07:01:10.000Z,0,0,1.291583,103.78365,1.292017,103.78053,68
8a1a7ab7bcc13be15ef52e74737844d945e0ec3e,39b802a9af5b56caaab8158f6fd191c1df0bafa3,2023,2017-09-01T06:50:16.000Z,2017-09-01T07:05:10.000Z,0,0,1.297183,103.7786,1.29105,103.78088,299
791b4c9644d856f6ff60c704d14afafb010c591a,61e50dc38af4399a3d91eb0f6e1590f9d1c2955a,2079,2017-09-01T06:51:41.000Z,2017-09-01T07:06:29.000Z,0,0,1.30355,103.77444,1.294483,103.77496,452
6cf8d85915432ca538e92c849e9e1b9afacf5bfd,e362793a54245e3c8ab4d20b5df6c846b9d7f11c,2079,2017-09-01T06:51:31.000Z,2017-09-01T07:01:32.000Z,0,0,1.303533,103.77444,1.293683,103.77528,112
fa4cae1484705011ed4cdfecc5198d080c2dee4a,154d7f4a21100b84a619c85d24f5eb4da3ecb2cd,2079,2017-09-01T06:51:35.000Z,2017-09-01T07:02:54.000Z,0,0,1.30355,103.77444,1.2945,103.77496,108
1f6dae68ea5af9dba8a4b8fb44d5678d4323f648,50d8b4a941c26b89482c94ab324b5a274f9ced66,2034,2017-09-01T06:51:50.000Z,2017-09-01T06:58:57.000Z,0,0,null,null,1.291767,103.78043,427
a1c366de4ffa37dd9f61f515cd420d934eefbff0,b05e9aa3195fcf681fa12ffa9a52246fe60c2a2f,2079,2017-09-01T06:51:46.000Z,2017-09-01T07:01:48.000Z,0,0,1.30355,103.77444,1.294233,103.77513,98
